Source,Target,Type,Id,year
95,267,Undirected,390,1992
96,202,Undirected,391,2010
96,265,Undirected,392,2010
97,159,Undirected,393,2008
97,259,Undirected,394,2008
98,202,Undirected,395,2010
98,265,Undirected,396,2010
99,114,Undirected,397,2015
99,174,Undirected,398,2015
100,115,Undirected,399,2018
100,161,Undirected,400,2018
100,170,Undirected,401,2018
100,198,Undirected,402,2018
100,199,Undirected,403,2018
100,243,Undirected,404,2018
100,255,Undirected,405,2018
100,271,Undirected,406,2018
101,145,Undirected,407,1987
101,224,Undirected,408,1987
101,285,Undirected,409,1987
102,270,Undirected,410,2014
102,274,Undirected,411,2014
103,123,Undirected,412,2012
103,154,Undirected,413,2012
103,237,Undirected,414,2012
104,123,Undirected,415,2012
104,154,Undirected,416,2012
104,237,Undirected,417,2012
105,156,Undirected,418,1994
106,159,Undirected,419,2008
106,259,Undirected,420,2008
107,108,Undirected,421,1988
107,153,Undirected,422,1988
107,209,Undirected,423,1988
107,222,Undirected,424,1988
107,224,Undirected,425,1988
107,276,Undirected,426,1988
107,284,Undirected,427,1988
108,224,Undirected,428,1988
109,169,Undirected,429,2009
109,189,Undirected,430,2009
110,145,Undirected,431,1987
110,224,Undirected,432,1987
110,285,Undirected,433,1987
111,169,Undirected,434,2009
111,189,Undirected,435,2009
112,123,Undirected,436,2012
112,237,Undirected,437,2012
113,212,Undirected,438,2014
113,270,Undirected,439,2014
113,274,Undirected,440,2014
114,121,Undirected,441,2015
114,167,Undirected,442,2015
114,174,Undirected,443,2015
114,187,Undirected,444,2015
114,277,Undirected,445,2015
115,170,Undirected,446,2018
115,199,Undirected,447,2018
116,172,Undirected,448,1992
116,267,Undirected,449,1992
116,286,Undirected,450,1992
117,159,Undirected,451,2008
117,259,Undirected,452,2008
118,164,Undirected,453,2018
119,156,Undirected,454,1994
120,164,Undirected,455,2018
121,174,Undirected,456,2015
122,134,Undirected,457,2007
122,146,Undirected,458,2007
122,165,Undirected,459,2007
122,179,Undirected,460,2007
122,217,Undirected,461,2007
122,226,Undirected,462,2007
123,130,Undirected,463,2012
123,142,Undirected,464,2012
123,154,Undirected,465,2012
123,158,Undirected,466,2012
123,160,Undirected,467,2012
123,194,Undirected,468,2012
123,208,Undirected,469,2012
123,237,Undirected,470,2012
123,242,Undirected,471,2012
123,250,Undirected,472,2012
123,262,Undirected,473,2012
125,172,Undirected,474,1992
125,267,Undirected,475,1992
125,286,Undirected,476,1992
126,127,Undirected,477,1996
126,147,Undirected,478,1996
126,157,Undirected,479,1996
127,147,Undirected,480,1996
127,157,Undirected,481,1996
128,202,Undirected,482,2010
128,265,Undirected,483,2010
129,148,Undirected,484,2007
129,248,Undirected,485,2007
129,272,Undirected,486,2007
130,154,Undirected,487,2012
130,237,Undirected,488,2012
133,156,Undirected,489,1994
134,179,Undirected,490,2007
134,217,Undirected,491,2007
134,226,Undirected,492,2007
135,169,Undirected,493,2009
136,212,Undirected,494,2014
136,270,Undirected,495,2014
136,274,Undirected,496,2014
137,164,Undirected,497,2018
140,202,Undirected,498,2010
140,265,Undirected,499,2010
141,156,Undirected,500,1994
