Authors	Record Count	% of 1,870
Glover TD	2	0.107
Glowacki L	2	0.107
Goldman AW	2	0.107
Gong X	2	0.107
Gopalan SP	2	0.107
Gould RV	2	0.107
Govindankutty S	2	0.107
Grabowicz PA	2	0.107
Graham AL	2	0.107
Gu F	2	0.107
Guess AM	2	0.107
Guo Q	2	0.107
Gupta S	2	0.107
Gygax AF	2	0.107
García-herranz M	2	0.107
Gonçalves B	2	0.107
Génois M	2	0.107
Hachen D	2	0.107
Hachen DS	2	0.107
Hahn U	2	0.107
Haines VA	2	0.107
Hampton K	2	0.107
Hampton KN	2	0.107
Han ZL	2	0.107
Hargittai E	2	0.107
Harrigan N	2	0.107
Harris S	2	0.107
Hart JP	2	0.107
Hasenjager MJ	2	0.107
Hayashi M	2	0.107
Haynie DL	2	0.107
Haythornthwaite C	2	0.107
Heathcote RJP	2	0.107
Hedtrich J	2	0.107
Henning CHCA	2	0.107
Henry AD	2	0.107
Herzog SM	2	0.107
Hofstra B	2	0.107
Hogan B	2	0.107
Holgado D	2	0.107
Holloway IW	2	0.107
Holme P	2	0.107
Hu HB	2	0.107
Hu HF	2	0.107
Hu P	2	0.107
Hu Y	2	0.107
Hu YJ	2	0.107
Huang J	2	0.107
Huang PL	2	0.107
Huang Q	2	0.107
Hyon R	2	0.107
Hedström P	2	0.107
Härdle WK	2	0.107
Iacobucci D	2	0.107
Ioannidis S	2	0.107
Iosifidis G	2	0.107
Izquierdo IB	2	0.107
Iñiguez G	2	0.107
Jakobi A	2	0.107
Jankowski J	2	0.107
Jiang SY	2	0.107
Jiang YC	2	0.107
Jiang ZQ	2	0.107
Jin C	2	0.107
Jin XG	2	0.107
Jo W	2	0.107
Jones NS	2	0.107
Jung JJ	2	0.107
Juozaitiene R	2	0.107
Kajdanowicz T	2	0.107
Kalberg K	2	0.107
Kaminski B	2	0.107
Kanamori M	2	0.107
Kao AB	2	0.107
Karsai M	2	0.107
Kasumovic MM	2	0.107
Kaufman JS	2	0.107
Keeling MJ	2	0.107
Keeton S	2	0.107
Keipi T	2	0.107
Killworth PD	2	0.107
Kim J	2	0.107
Kim S	2	0.107
Kleinberg J	2	0.107
Kleineberg KK	2	0.107
Klovdahl AS	2	0.107
Kobayashi T	2	0.107
Kotani H	2	0.107
Kovanen L	2	0.107
Kramer ADI	2	0.107
Krug G	2	0.107
Kryvasheyeu Y	2	0.107
Kumar S	2	0.107
Kwak S	2	0.107
Kwon KH	2	0.107
Klärner A	2	0.107
La Corte A	2	0.107
Laaroussi AE	2	0.107
Lai CH	2	0.107
Lamberson PJ	2	0.107
Lambiotte R	2	0.107
Laniado H	2	0.107
Latora V	2	0.107
Le ST	2	0.107
Leadbeater E	2	0.107
Lee C	2	0.107
Lee J	2	0.107
Lee W	2	0.107
Leenders RTAJ	2	0.107
Lepri B	2	0.107
Lerman K	2	0.107
Lesser O	2	0.107
Levin SA	2	0.107
Lewandowsky S	2	0.107
Li C	2	0.107
Li CQ	2	0.107
Li J	2	0.107
Li MH	2	0.107
Li MX	2	0.107
Li N	2	0.107
Li Q	2	0.107
Li SR	2	0.107
Liang X	2	0.107
Lillo RE	2	0.107
Liu JM	2	0.107
Liu Y	2	0.107
Lorenz-spreen P	2	0.107
Lu S	2	0.107
Lu WB	2	0.107
Lu X	2	0.107
Lubell M	2	0.107
Liébana-presa C	2	0.107
Liò P	2	0.107
Lü LY	2	0.107
Ma J	2	0.107
Ma LX	2	0.107
Mann J	2	0.107
Mantzaris AV	2	0.107
Marin A	2	0.107
Markovsky B	2	0.107
Marlow C	2	0.107
Marquez C	2	0.107
Martin JL	2	0.107
Mascia D	2	0.107
Mascolo C	2	0.107
Mavrodiev P	2	0.107
Mcclure JM	2	0.107
Mcdonald S	2	0.107
Mcpherson M	2	0.107
Medo M	2	0.107
Mele A	2	0.107
Mesch G	2	0.107
Mesch GS	2	0.107
Meylakhs PA	2	0.107
Milojevic S	2	0.107
Min Y	2	0.107
Montag C	2	0.107
Montgomery B	2	0.107
Morales JMR	2	0.107
Morgan JH	2	0.107
Mostafavi A	2	0.107
Moukarzel S	2	0.107
Mulcahy CM	2	0.107
Mulder J	2	0.107
Mustanski B	2	0.107
Muth SQ	2	0.107
Martínez-lópez B	2	0.107
Mäs M	2	0.107
Nagle NN	2	0.107
Nagler J	2	0.107
Newman DA	2	0.107
Newman MEJ	2	0.107
Nian FZ	2	0.107
Noulas A	2	0.107
Nowak MA	2	0.107
O'donnell MB	2	0.107
O'neil M	2	0.107
Obradovich N	2	0.107
Oksanen A	2	0.107
Olivares G	2	0.107
Omodei E	2	0.107
Otero G	2	0.107
Pachucki MC	2	0.107
Pagan N	2	0.107
Paik A	2	0.107
Parry DC	2	0.107
Passarella A	2	0.107
Pattison PE	2	0.107
Patuelli A	2	0.107
Perry BL	2	0.107
Pescosolido BA	2	0.107
Pierri F	2	0.107
Pliskin N	2	0.107
Plotkin JB	2	0.107
Plucinski MM	2	0.107
Polizzi E	2	0.107
Pollo P	2	0.107
Pralat P	2	0.107
Pratikakis P	2	0.107
Primerano I	2	0.107
Psorakis I	2	0.107
Puetz K	2	0.107
Puga-gonzalez I	2	0.107
Pujol JM	2	0.107
Qi JS	2	0.107
Quattrociocchi W	2	0.107
Quintane E	2	0.107
Raabe IJ	2	0.107
Rachik M	2	0.107
Raftery AE	2	0.107
Rai A	2	0.107
Ramnarine IW	2	0.107
Ratti C	2	0.107
Reback CJ	2	0.107
Rehm M	2	0.107
Requena F	2	0.107
Reynolds TA	2	0.107
Rizoiu MA	2	0.107
Roberts JM	2	0.107
Robles JM	2	0.107
Rocha LEC	2	0.107
Rodan S	2	0.107
Rodriguez E	2	0.107
Romanczuk P	2	0.107
Romero-reche A	2	0.107
Romo J	2	0.107
Rooke R	2	0.107
Rossi L	2	0.107
Rostila M	2	0.107
Roth C	2	0.107
Roth P	2	0.107
Roth WD	2	0.107
Rotkirch A	2	0.107
Rotolo T	2	0.107
Rubenstein DI	2	0.107
Ruffo G	2	0.107
Rui JR	2	0.107
Rydgren J	2	0.107
Rykov YG	2	0.107
Räsänen P	2	0.107
Safdari H	2	0.107
Saldanha E	2	0.107
Samuel-azran T	2	0.107
Santi P	2	0.107
