Publication Titles	Record Count	% of 1,859
SOCIOLOGICAL METHODOLOGY 2011 VOL 41	1	0.054
SOCIOLOGICAL METHODOLOGY 2012 VOL 42	1	0.054
SOCIOLOGICAL METHODOLOGY 2013 VOL 43	1	0.054
SOCIOLOGICAL METHODOLOGY 2014 VOL 44	1	0.054
SOCIOLOGICAL METHODS RESEARCH	11	0.592
SOCIOLOGICAL PERSPECTIVES	5	0.269
SOCIOLOGICAL QUARTERLY	2	0.108
SOCIOLOGICAL RESEARCH ONLINE	2	0.108
SOCIOLOGICAL REVIEW	1	0.054
SOCIOLOGICAL SCIENCE	8	0.430
SOCIOLOGICAL SPECTRUM	1	0.054
SOCIOLOGICAL THEORY AND METHODS	4	0.215
SOCIOLOGICKY CASOPIS CZECH SOCIOLOGICAL REVIEW	2	0.108
SOCIOLOGY COMPASS	6	0.323
SOCIOLOGY OF EDUCATION	7	0.377
SOCIOLOGY OF HEALTH ILLNESS	5	0.269
SOCIOLOGY OF RACE AND ETHNICITY	2	0.108
SOCIOLOGY OF RELIGION	1	0.054
SOCIOLOGY THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION	4	0.215
SOTSIOLOGICHESKIE ISSLEDOVANIYA	4	0.215
SOUTH AFRICAN JOURNAL OF SCIENCE	1	0.054
SOZIALE WELT ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS	3	0.161
SPRINGERPLUS	3	0.161
STUDIES IN SYMBOLIC INTERACTION	1	0.054
SYMBOLIC INTERACTION	2	0.108
SYMBOLIC INTERACTION AND NEW SOCIAL MEDIA	1	0.054
SYMMETRY BASEL	14	0.753
SYSTEM DYNAMICS REVIEW	3	0.161
SYSTEMS	8	0.430
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE	2	0.108
SZOCIOLOGIAI SZEMLE	1	0.054
TECHNOLOGY ANALYSIS STRATEGIC MANAGEMENT	15	0.807
TECHNOLOGY IN SOCIETY	16	0.861
TEMPO SOCIAL	1	0.054
THEORY AND SOCIETY	6	0.323
WORK AND OCCUPATIONS	1	0.054
WORK EMPLOYMENT AND SOCIETY	1	0.054
YOUNG	3	0.161
YOUTH SOCIETY	4	0.215
ZEITSCHRIFT FUR SOZIOLOGIE	2	0.108
