Affiliations	Record Count	% of 1,862
FERN UNIVERSITY HAGEN	2	0.107
FRIENDS RESEARCH INSTITUTE INC	2	0.107
GEORGIA INSTITUTE OF TECHNOLOGY	2	0.107
GRIFFITH UNIVERSITY	2	0.107
GUANGXI UNIVERSITY OF FINANCE ECONOMICS	2	0.107
GUANGZHOU HUASHANG COLL	2	0.107
GUIZHOU UNIVERSITY OF FINANCE ECONOMICS	2	0.107
HAINAN UNIVERSITY	2	0.107
HAMAD BIN KHALIFA UNIVERSITY QATAR	2	0.107
HANYANG UNIVERSITY	2	0.107
HASSAN II UNIVERSITY OF CASABLANCA	2	0.107
HEBEI NORMAL UNIVERSITY	2	0.107
HEWLETT PACKARD	2	0.107
HUAIYIN NORMAL UNIVERSITY	2	0.107
HUAZHONG AGRICULTURAL UNIVERSITY	2	0.107
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
HUNTER COLLEGE CUNY	2	0.107
IHSAN DOGRAMACI BILKENT UNIVERSITY	2	0.107
INDIANA UNIVERSITY NORTHWEST	2	0.107
INST EMPLOYMENT RES IAB	2	0.107
INST FUTURES STUDIES	2	0.107
INST SCI INTERCHANGE ISI FDN	2	0.107
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	2	0.107
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM	2	0.107
INSTITUT POLYTECHNIQUE DE PARIS	2	0.107
INSTITUTE OF COMPUTING TECHNOLOGY CAS	2	0.107
INSTITUTE OF THEORETICAL PHYSICS CAS	2	0.107
IOWA STATE UNIVERSITY	2	0.107
IRAN UNIVERSITY OF MEDICAL SCIENCES	2	0.107
ISI	2	0.107
ISLAMIC AZAD UNIVERSITY	2	0.107
JAMES MADISON UNIVERSITY	2	0.107
JIANGSU UNIVERSITY	2	0.107
JIANGSU UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
JILIN UNIVERSITY	2	0.107
JINAN UNIVERSITY	2	0.107
KHALIFA UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
KOBE UNIVERSITY	2	0.107
KOREA AEROSPACE UNIVERSITY	2	0.107
KUNMING UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
LANZHOU UNIVERSITY	2	0.107
LANZHOU UNIVERSITY OF TECHNOLOGY	2	0.107
LEEDS BECKETT UNIVERSITY	2	0.107
LEIBNIZ INSTITUT FUR BILDUNGSVERLAUFE LIFBI	2	0.107
LEIBNIZ INSTITUT FUR GEWASSEROKOLOGIE UND BINNENFISCHEREI IGB	2	0.107
LEIBNIZ UNIVERSITY HANNOVER	2	0.107
LEIPZIG UNIVERSITY	2	0.107
LINCOLN UNIV	2	0.107
LINGNAN NORMAL UNIVERSITY	2	0.107
LINNAEUS UNIVERSITY	2	0.107
LIVERPOOL JOHN MOORES UNIVERSITY	2	0.107
LONDON BUSINESS SCHOOL	2	0.107
LOS ALAMOS NATIONAL LABORATORY	2	0.107
LOYOLA UNIVERSITY CHICAGO	2	0.107
MAKERERE UNIVERSITY	2	0.107
MASSEY UNIVERSITY	2	0.107
MATHEMATICA	2	0.107
MEMORIAL UNIVERSITY NEWFOUNDLAND	2	0.107
MIAMI UNIVERSITY	2	0.107
MINIST EDUC CHINA	2	0.107
MONASH UNIVERSITY	2	0.107
NANCHANG UNIVERSITY	2	0.107
NATIONAL CHENGCHI UNIVERSITY	2	0.107
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM	2	0.107
NATIONAL SUN YAT SEN UNIVERSITY	2	0.107
NATIONAL TAIWAN UNIVERSITY	2	0.107
NELSON MANDELA UNIVERSITY	2	0.107
NERC NATIONAL OCEANOGRAPHY CENTRE	2	0.107
NET WORKS	2	0.107
NEW ECONOMIC SCHOOL	2	0.107
NEW ENGLAND COMPLEX SYST INST	2	0.107
NEW JERSEY INSTITUTE OF TECHNOLOGY	2	0.107
NEW YORK STATE MUSEUM SCI SERV	2	0.107
NIH FOGARTY INTERNATIONAL CENTER FIC	2	0.107
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH	2	0.107
NORTH WEST UNIVERSITY SOUTH AFRICA	2	0.107
NORTHEAST AGRICULTURAL UNIVERSITY CHINA	2	0.107
NORTHEASTERN UNIVERSITY CHINA	2	0.107
NORTHWEST NORMAL UNIVERSITY CHINA	2	0.107
OAK RIDGE NATIONAL LABORATORY	2	0.107
OKLAHOMA STATE UNIVERSITY STILLWATER	2	0.107
OKLAHOMA STATE UNIVERSITY SYSTEM	2	0.107
OREGON STATE UNIVERSITY	2	0.107
PACIFIC NORTHWEST NATIONAL LABORATORY	2	0.107
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO	2	0.107
POTSDAM INSTITUT FUR KLIMAFOLGENFORSCHUNG	2	0.107
QATAR COMPUTING RESEARCH INSTITUTE	2	0.107
QATAR FOUNDATION QF	2	0.107
QINGDAO UNIVERSITY	2	0.107
QUINNIPIAC UNIVERSITY	2	0.107
QUINTUS ENTIAL SOLUT	2	0.107
RESEARCH TRIANGLE INSTITUTE	2	0.107
ROSLIN INSTITUTE	2	0.107
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT	2	0.107
SABANCI UNIVERSITY	2	0.107
SAINT MARYS UNIVERSITY CANADA	2	0.107
SAMFORD UNIVERSITY	2	0.107
SHAANXI NORMAL UNIVERSITY	2	0.107
SHAHID BEHESHTI UNIVERSITY	2	0.107
SHANDONG NORMAL UNIVERSITY	2	0.107
SHANGHAI UNIVERSITY OF FINANCE ECONOMICS	2	0.107
SHANXI UNIVERSITY	2	0.107
SHARIF UNIVERSITY OF TECHNOLOGY	2	0.107
SMITHSONIAN NATIONAL ZOOLOGICAL PARK CONSERVATION BIOLOGY INSTITUTE	2	0.107
SOUTH CHINA NORMAL UNIVERSITY	2	0.107
SOUTHEAST UNIVERSITY CHINA	2	0.107
SOUTHERN ILLINOIS UNIVERSITY SYSTEM	2	0.107
SOUTHERN METHODIST UNIVERSITY	2	0.107
SOUTHERN UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
SOUTHWEST JIAOTONG UNIVERSITY	2	0.107
SYRACUSE UNIVERSITY	2	0.107
TAIYUAN UNIVERSITY OF TECHNOLOGY	2	0.107
TAKMING UNIVERSITY SCIENCE TECHNOLOGY	2	0.107
TECHNICAL UNIVERSITY OF BERLIN	2	0.107
TECNOLOGICO DE MONTERREY	2	0.107
TEMPLE UNIVERSITY	2	0.107
TENCENT	2	0.107
TONGJI UNIVERSITY	2	0.107
TRUTH INITIAT	2	0.107
UCL INSTITUTE OF EDUCATION	2	0.107
ULM UNIVERSITY	2	0.107
UNICEF	2	0.107
UNITED STATES MILITARY ACADEMY	2	0.107
UNITED STATES NAVY	2	0.107
UNIV CURACAO	2	0.107
UNIV EDUC WEINGARTEN	2	0.107
UNIVERSIDAD EAFIT	2	0.107
UNIVERSIDAD INTERNACIONAL DE LA RIOJA UNIR	2	0.107
UNIVERSIDAD REY JUAN CARLOS	2	0.107
UNIVERSIDADE FEDERAL DE MINAS GERAIS	2	0.107
UNIVERSITAT DE GIRONA	2	0.107
UNIVERSITE COTE D AZUR	2	0.107
UNIVERSITE DE TOULOUSE JEAN JAURES	2	0.107
UNIVERSITE GRENOBLE ALPES UGA	2	0.107
UNIVERSITE LIBRE DE BRUXELLES	2	0.107
UNIVERSITE PARIS DAUPHINE	2	0.107
UNIVERSITE PARIS SACLAY	2	0.107
UNIVERSITE TOULOUSE III PAUL SABATIER	2	0.107
UNIVERSITI SAINS MALAYSIA	2	0.107
UNIVERSITY MASSACHUSETTS DARTMOUTH	2	0.107
UNIVERSITY OF ALBERTA	2	0.107
UNIVERSITY OF ARKANSAS MEDICAL SCIENCES	2	0.107
UNIVERSITY OF AUGSBURG	2	0.107
UNIVERSITY OF BASEL	2	0.107
UNIVERSITY OF CALABRIA	2	0.107
UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER	2	0.107
UNIVERSITY OF CALIFORNIA RIVERSIDE	2	0.107
UNIVERSITY OF CINCINNATI	2	0.107
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS	2	0.107
UNIVERSITY OF DELAWARE	2	0.107
UNIVERSITY OF DENVER	2	0.107
UNIVERSITY OF DHAKA	2	0.107
UNIVERSITY OF EASTERN FINLAND	2	0.107
UNIVERSITY OF ESSEX	2	0.107
UNIVERSITY OF GOTTINGEN	2	0.107
UNIVERSITY OF GRANADA	2	0.107
UNIVERSITY OF HAWAII MANOA	2	0.107
UNIVERSITY OF INTERNATIONAL BUSINESS ECONOMICS	2	0.107
UNIVERSITY OF JINAN	2	0.107
UNIVERSITY OF KANSAS	2	0.107
UNIVERSITY OF L AQUILA	2	0.107
UNIVERSITY OF MASSACHUSETTS BOSTON	2	0.107
UNIVERSITY OF MILANO BICOCCA	2	0.107
UNIVERSITY OF MONTANA	2	0.107
UNIVERSITY OF MONTANA SYSTEM	2	0.107
UNIVERSITY OF MUNICH	2	0.107
UNIVERSITY OF MUNSTER	2	0.107
UNIVERSITY OF NAMUR	2	0.107
UNIVERSITY OF NAPLES FEDERICO II	2	0.107
UNIVERSITY OF NAVARRA	2	0.107
UNIVERSITY OF NEUCHATEL	2	0.107
UNIVERSITY OF NOTTINGHAM	2	0.107
UNIVERSITY OF OKLAHOMA NORMAN	2	0.107
UNIVERSITY OF OKLAHOMA SYSTEM	2	0.107
UNIVERSITY OF OREGON	2	0.107
UNIVERSITY OF OTTAWA	2	0.107
UNIVERSITY OF PADUA	2	0.107
UNIVERSITY OF PALERMO	2	0.107
UNIVERSITY OF PASSAU	2	0.107
UNIVERSITY OF PAVIA	2	0.107
UNIVERSITY OF PERUGIA	2	0.107
UNIVERSITY OF REGINA	2	0.107
UNIVERSITY OF RIJEKA	2	0.107
UNIVERSITY OF ROCHESTER	2	0.107
UNIVERSITY OF SALERNO	2	0.107
UNIVERSITY OF SASSARI	2	0.107
UNIVERSITY OF SEVILLA	2	0.107
UNIVERSITY OF TEHRAN	2	0.107
UNIVERSITY OF TEXAS DALLAS	2	0.107
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON	2	0.107
UNIVERSITY OF UTAH	2	0.107
UNIVERSITY OF VALENCIA	2	0.107
UNIVERSITY OF VICTORIA	2	0.107
UNIVERSITY OF WISCONSIN MILWAUKEE	2	0.107
UNIVERSITY OF WOLLONGONG	2	0.107
UNIVERSITY OF WROCLAW	2	0.107
UOC UNIVERSITAT OBERTA DE CATALUNYA	2	0.107
VAESTOLIITTO	2	0.107
VICTORIA UNIVERSITY WELLINGTON	2	0.107
VIETNAM MARITIME UNIVERSITY VMU VIMARU	2	0.107
VIRGINIA COMMONWEALTH UNIVERSITY	2	0.107
VYTAUTAS MAGNUS UNIVERSITY	2	0.107
WAGENINGEN UNIVERSITY RESEARCH	2	0.107
WEST POMERANIAN UNIVERSITY OF TECHNOLOGY	2	0.107
WEST VIRGINIA UNIVERSITY	2	0.107
WUHAN UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.107
WUHAN UNIVERSITY OF TECHNOLOGY	2	0.107
XI AN UNIVERSITY OF FINANCE ECONOMICS	2	0.107
XIAMEN UNIVERSITY	2	0.107
ZHEJIANG UNIVERSITY OF FINANCE ECONOMICS	2	0.107
ZHEJIANG UNIVERSITY OF TECHNOLOGY	2	0.107
ZHONGNAN UNIVERSITY OF ECONOMICS LAW	2	0.107
ZOOLOGICAL SOCIETY OF LONDON	2	0.107
3SCALE NETWORKS	1	0.054
AAMAZE DATA CO	1	0.054
AARHUS UNIVERSITY	1	0.054
ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS ICTP	1	0.054
AEGIS CONSTRUCT CONSULTANTS	1	0.054
AFRICAN LION ENVIRONM RES TRUST	1	0.054
AION CORP	1	0.054
AIR UNIVERSITY ISLAMABAD	1	0.054
AITIA INT INC	1	0.054
AL AIN UNIV	1	0.054
AL MUTHANNA UNIV	1	0.054
ALCATEL LUCENT	1	0.054
ALIBABA GROUP	1	0.054
AMASYA UNIVERSITY	1	0.054
AMAZON COM	1	0.054
ANHUI MEDICAL UNIVERSITY	1	0.054
ANHUI UNIVERSITY	1	0.054
ANHUI UNIVERSITY OF FINANCE ECONOMICS	1	0.054
ANHUI XINHUA UNIVERSITY	1	0.054
ANIM WELFARE	1	0.054
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHICAGO	1	0.054
ANNA UNIVERSITY	1	0.054
ANNA UNIVERSITY CHENNAI	1	0.054
APHA	1	0.054
ARAB ACADEMY FOR SCIENCE TECHNOLOGY MARITIME TRANSPORT	1	0.054
ARCHAEOL SOUTHWEST	1	0.054
ARCHAEOL XRF LAB	1	0.054
ARIZONA CENTER CANCER CARE	1	0.054
ARTIFICIAL INTELLIGENT OSLOMET LAB	1	0.054
ASSISTANCE PUBLIQUE HOPITAUX PARIS APHP	1	0.054
ASSOC CONSERVACCION	1	0.054
ATHABASCA UNIVERSITY	1	0.054
ATOS CONSULTING CANARIAS	1	0.054
AUSTRALIAN CATHOLIC UNIVERSITY	1	0.054
AUSTRALIAN CATHOLIC UNIVERSITY BRISBANE CAMPUS	1	0.054
AUSTRALIAN TRANSACT REPORTS ANAL CTR	1	0.054
AVIGNON UNIVERSITE	1	0.054
AZIM PREMJI UNIV	1	0.054
BABES BOLYAI UNIVERSITY FROM CLUJ	1	0.054
BAHRIA UNIV	1	0.054
BANGLADESH AGRICULTURAL UNIVERSITY BAU	1	0.054
BANGLADESH RURAL ADVANCEMENT COMMITTEE BRAC	1	0.054
BANGLADESH UNIVERSITY OF ENGINEERING TECHNOLOGY BUET	1	0.054
BARCELONA GRAD SCH ECON	1	0.054
BARCELONA SUPERCOMPUTER CENTER BSC CNS	1	0.054
BASQUE CENTRE FOR CLIMATE CHANGE BC3	1	0.054
BASQUE FOUNDATION FOR SCIENCE	1	0.054
BAY AREA PHLEBOT LAB SERV BAYPLS	1	0.054
BEIJING ADV INNOVAT CTR BIG DATA BRAIN COMP	1	0.054
BEIJING INFORMATION SCIENCE TECHNOLOGY UNIVERSITY	1	0.054
BEIJING INST COMP TECHNOL APPLICAT	1	0.054
BEIJING INST ELECT TECHNOL APPLICAT	1	0.054
BEIJING INST SCI TECHNOL INTELLIGENCE	1	0.054
BEIJING INSTITUTE OF PETROCHEMICAL TECHNOLOGY	1	0.054
BEIJING TECHNOLOGY BUSINESS UNIVERSITY	1	0.054
BEIJING UNION UNIVERSITY	1	0.054
BEIJING UNIV POST TELECOMMUN	1	0.054
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY	1	0.054
BEIJING WUZI UNIVERSITY	1	0.054
BELARUSIAN STATE UNIVERSITY	1	0.054
BERLIN GRAD SCH SOCIAL SCI BGSS	1	0.054
BERLIN INST INTEGRAT MIGRAT RES BIM	1	0.054
BERLIN INSTITUTE OF HEALTH	1	0.054
BERNHARD NOCHT INSTITUT FUR TROPENMEDIZIN	1	0.054
BETH ISRAEL DEACONESS MEDICAL CENTER	1	0.054
BI NORWEGIAN BUSINESS SCHOOL	1	0.054
BISHOPS UNIVERSITY	1	0.054
BLOOMFIELD COLLEGE	1	0.054
BOCCONI UNIV	1	0.054
BOSTON MEDICAL CENTER	1	0.054
BOWLING GREEN STATE UNIVERSITY	1	0.054
BRAC UNIVERSITY	1	0.054
BRANDEIS UNIVERSITY	1	0.054
BREMEN INT GRAD SCH SOCIAL SCI BIGSSS	1	0.054
BROOKINGS INSTITUTION	1	0.054
BT GRP PLC	1	0.054
BUCKNELL UNIVERSITY	1	0.054
BURAKU LIBERAT HUMAN RIGHTS RES INST	1	0.054
BYU	1	0.054
CA BOTTACIN	1	0.054
CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO	1	0.054
CALIFORNIA STATE UNIVERSITY CHICO	1	0.054
CALIFORNIA STATE UNIVERSITY FRESNO	1	0.054
CALIFORNIA STATE UNIVERSITY LOS ANGELES	1	0.054
CALIFORNIA STATE UNIVERSITY SAN BERNARDINO	1	0.054
CANADIAN INSTITUTE FOR ADVANCED RESEARCH CIFAR	1	0.054
CANTERBURY CHRIST CHURCH UNIVERSITY	1	0.054
CAPITAL UNIVERSITY OF ECONOMICS BUSINESS	1	0.054
CARDIFF UNIVERSITY	1	0.054
CARL VON OSSIETZKY UNIVERSITAT OLDENBURG	1	0.054
CARLETON COLLEGE	1	0.054
CASE WESTERN RESERVE UNIVERSITY	1	0.054
CATAWBA COLL	1	0.054
CATHOLIC UNIVERSITY OF AMERICA	1	0.054
CATHOLIC UNIVERSITY OF LUBLIN	1	0.054
CEM CEBRAP	1	0.054
CENTER FOR ECONOMIC POLICY RESEARCH CEPR	1	0.054
CENTER FOR TECHNOLOGICAL DEVELOPMENT IN HEALTH CDTS	1	0.054
CENTERS FOR DISEASE CONTROL PREVENTION USA	1	0.054
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM	1	0.054
CENTRAL QUEENSLAND UNIVERSITY	1	0.054
CENTRE DE RECERCA MATEMATICA CRM	1	0.054
CENTRO ATOMICO BARILOCHE	1	0.054
CEPR CTR ECON POLICY RES	1	0.054
CERO AI	1	0.054
CHAN ZUCKERBERG BIOHUB	1	0.054
CHANG AN UNIVERSITY	1	0.054
CHANG GUNG MEMORIAL HOSPITAL	1	0.054
CHANG GUNG UNIVERSITY	1	0.054
CHANGE ARIZONA STATE UNIV	1	0.054
CHARITE UNIVERSITATSMEDIZIN BERLIN	1	0.054
CHARLES LE MOYNE HOSP	1	0.054
CHARLES STURT UNIVERSITY	1	0.054
CHENGDU UNIVERSITY OF TECHNOLOGY	1	0.054
CHIANG MAI UNIVERSITY	1	0.054
CHILDRENS HEALTH QUEENSLAND HOSPITAL HEALTH SERVICE	1	0.054
CHINA ACAD INFORMAT COMMUN TECHNOL CAICT	1	0.054
CHINA CITY ENVIRONM PROTECT ENGN LTD CO	1	0.054
CHINA ELECT POWER RES INST	1	0.054
CHINA INFORMAT TECHNOL SECUR EVALUAT CTR	1	0.054
CHINA UNIVERSITY OF POLITICAL SCIENCE LAW	1	0.054
CHINESE GRAD SCH	1	0.054
CHONGQING BUSINESS VOCAT COLL	1	0.054
CHONGQING JIAOTONG UNIVERSITY	1	0.054
CHONGQING KEY LAB MOBILE COMMUN TECHNOL	1	0.054
CHONGQING TECHNOLOGY BUSINESS UNIVERSITY	1	0.054
CHONGQING UNIVERSITY OF TECHNOLOGY	1	0.054
CHRISTOFFEL CONSERVAT	1	0.054
CHUO UNIV	1	0.054
CIERZO DEV SL	1	0.054
CIM UVIGO	1	0.054
CINI NATL LAB CYBERSECUR	1	0.054
CLAREMONT GRADUATE SCHOOL	1	0.054
CLAREMONT MCKENNA COLLEGE	1	0.054
CLIMATE ANALYT	1	0.054
CLIN MARTIN BARO	1	0.054
CNRS INSTITUTE FOR HUMANITIES SOCIAL SCIENCES INSHS	1	0.054
CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE	1	0.054
CNRS INSTITUTE OF PHYSICS INP	1	0.054
COLLABORAT INNOVAT CTR NOVEL SOFTWARE TECHNOL I	1	0.054
COLLEGE OF CHARLESTON	1	0.054
COMILLAS PONTIFICAL UNIVERSITY	1	0.054
COMISION NACIONAL DE ENERGIA ATOMICA CNEA	1	0.054
COMMUN UNIV CHINA NANJING	1	0.054
COMPLEX SOC LAB	1	0.054
COMPUTAT SOCIAL SCI RES CTR EDUC	1	0.054
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	1	0.054
CONSERVAT VOLUNTEERS AUSTRALIA	1	0.054
CORP UNIVERSITARIA ASTURIAS	1	0.054
CRACOW UNIVERSITY OF ECONOMICS	1	0.054
CSIC UAM INSTITUT DE FISICA TEORICA IFT	1	0.054
CSIC UPM CENTRO DE AUTOMATICA Y ROBOTICA	1	0.054
CSIC UPV INSTITUTO DE GESTION DE LA INNOVACION Y DEL CONOCIMIENTO INGENIO	1	0.054
CTR COLLECT DYNAM COMPLEX SYST	1	0.054
CTR ESTUDIOS ESTRATEG ARMADA	1	0.054
CTR HLTH DATA SCI	1	0.054
CTR HLTH EDUC GUANGDONG PROV	1	0.054
CTR HLTH EQU STUDIES CHESS	1	0.054
CTR INT STUDENT ASSESSMENT ZIB	1	0.054
CTR INVEST PENSAMIENTO CONTEMPORANEO INNOVAC DE	1	0.054
CTR MIND CULTURE	1	0.054
CTR RES TEACHING ECON CIDE	1	0.054
CTR STUDYNG HLTH SYST CHANGE	1	0.054
CTR WOMEN FAMILIES EASTERN FAIRFIELD CTY	1	0.054
CURTIN UNIVERSITY	1	0.054
CYBERAGENT INC	1	0.054
CYRAM INC	1	0.054
DALIAN JIAOTONG UNIVERSITY	1	0.054
DALIAN MARITIME UNIVERSITY	1	0.054
DANUBE UNIVERSITY KREMS	1	0.054
DAQIN RAILWAY CO LTD	1	0.054
DEPT HUMAN DEV FAMILY STUDIES	1	0.054
DEPT ZOOL	1	0.054
DEUTSCH ZENTRUM INTEGRAT MIGRAT FORSCH DEZIM	1	0.054
DEUTSCHE TELEKOM AG	1	0.054
DEUTSCHES PRIMATENZENTRUM DPZ	1	0.054
DEV RES CTR BEIJING NEW MODERN IND AREA	1	0.054
DFINITY	1	0.054
DICKMANN ASSOCIATES LLC	1	0.054
DIJLAH UNIV COLL	1	0.054
DIPARTIMENTO SCI ECON AZIENDALI	1	0.054
DIPARTIMENTO SCI SOCIALI	1	0.054
DIVERGENT SCI LLC	1	0.054
DONGBEI UNIVERSITY OF FINANCE ECONOMICS	1	0.054
DORTMUND UNIVERSITY OF TECHNOLOGY	1	0.054
DRAKE UNIVERSITY	1	0.054
DUKE NETWORK ANAL CTR	1	0.054
EAST CAROLINA UNIVERSITY	1	0.054
EASTERN MICHIGAN UNIVERSITY	1	0.054
EC JRC INSTITUTE FOR ENERGY TRANSPORT IET	1	0.054
ECOLE HAUTES ETUD SCI SOCIALES	1	0.054
ECOLE NORMALE SUPERIEURE ENS	1	0.054
ECOLE POLYTECHNIQUE	1	0.054
ECONOMIC SOCIAL RESEARCH COUNCIL ESRC	1	0.054
EDINBURGH TECHNOPOLE	1	0.054
EGE UNIVERSITY	1	0.054
EINAUDI INST ECON FINANCE EIEF	1	0.054
EL PASO CTY DEPT HLTH ENVIRONM	1	0.054
ELECTROMAGNET SENSOR SYST DEPT	1	0.054
ELKH CTR ECON REG STUDIES	1	0.054
ELON UNIVERSITY	1	0.054
EMMANUEL COLL	1	0.054
ENR FERMI RES CTR CREF	1	0.054
ENSAE PARIS	1	0.054
EQUIFAX	1	0.054
ERDC RISK MODELING	1	0.054
ESCUELA POLITECNICA SUPERIOR DEL EJERCITO	1	0.054
ESSEC BUSINESS SCHOOL	1	0.054
ETHOBIOSCI	1	0.054
EURECAT	1	0.054
EUROPEAN COMMISSION JOINT RESEARCH CENTRE	1	0.054
EUROPEAN INVESTMENT BANK	1	0.054
EUROPEAN UNIVERSITY VIADRINA FRANKFURT ODER	1	0.054
EWHA WOMANS UNIVERSITY	1	0.054
FAC ECON	1	0.054
FAC TOURISM	1	0.054
FAIRFIELD UNIVERSITY	1	0.054
FDN ARAID	1	0.054
FDN ESTUDIOS ECON APLICADA	1	0.054
FDN RES TECHNOL	1	0.054
FEDERATION UNIVERSITY AUSTRALIA	1	0.054
FENG CHIA UNIVERSITY	1	0.054
FIRAT UNIVERSITY	1	0.054
FLACSO ECUADOR	1	0.054
FLORIDA ATLANTIC UNIVERSITY	1	0.054
FLORIDA FISH WILDLIFE CONSERVATION COMMISSION	1	0.054
FLORIDA INTERNATIONAL UNIVERSITY	1	0.054
FLOWMINDER FDN	1	0.054
FOOD AGIL CRC	1	0.054
FORDHAM UNIVERSITY	1	0.054
FORTH ICS	1	0.054
FRAUNHOFER GESELLSCHAFT	1	0.054
FRB	1	0.054
FRED HUTCHINSON CANCER CENTER	1	0.054
FRIEDRICH SCHILLER UNIVERSITY OF JENA	1	0.054
FUJIAN AGRICULTURE FORESTRY UNIVERSITY	1	0.054
FUJIAN BUSINESS UNIVERSITY	1	0.054
FUKUSHIMA MEDICAL UNIVERSITY	1	0.054
G D ANNUNZIO UNIVERSITY OF CHIETI PESCARA	1	0.054
GALAXYADVISORS AG	1	0.054
GALLUP GOVT	1	0.054
GANGWON INST	1	0.054
GANGWON TECHNOPARK	1	0.054
GANSU GREAT WALL LONG MARCH NATL CULTURAL PK CON	1	0.054
GAUHATI UNIVERSITY	1	0.054
GAZI UNIVERSITY	1	0.054
GECS RES GRP EXPT COMPUTAT SOCIOL	1	0.054
GERMAN CTR INTEGRAT BIODIVERS RES IDIV	1	0.054
GFK	1	0.054
GLACIER TWO MED ALLIANCE	1	0.054
GLASGOW CALEDONIAN UNIVERSITY	1	0.054
GLO GLOBAL LAB ORG	1	0.054
GLOBAL FUND FIGHT AIDS TB MALARIA	1	0.054
GORONGOSA NATL PK	1	0.054
GRADUATE UNIVERSITY FOR ADVANCED STUDIES JAPAN	1	0.054
GRAMMARLY	1	0.054
GRAND VALLEY STATE UNIVERSITY	1	0.054
GRAPES	1	0.054
GRAZ UNIVERSITY OF TECHNOLOGY	1	0.054
GRIFFITH UNIVERSITY GOLD COAST CAMPUS	1	0.054
GRP E6	1	0.054
GRP E6 UHU	1	0.054
GRP INTERDISCIPLINAR SISTEMAS COMPLEJOS GISC	1	0.054
GUANGDONG SECOND PROV GEN HOSP	1	0.054
GUANGDONG UNIVERSITY OF TECHNOLOGY	1	0.054
GUANGXI NORMAL UNIVERSITY	1	0.054
GUANGXI UNIVERSITY	1	0.054
GUANGZHOU CITY UNIV TECHNOL	1	0.054
GUANGZHOU UNIVERSITY	1	0.054
GUIZHOU UNIVERSITY	1	0.054
GUSTAVUS ADOLPHUS COLLEGE	1	0.054
H LEE MOFFITT CANCER CENTER RESEARCH INSTITUTE	1	0.054
HALLYM UNIVERSITY	1	0.054
HANGZHOU DIANZI UNIVERSITY	1	0.054
HANGZHOU VOCATIONAL TECHNICAL COLLEGE	1	0.054
HAPPINESS PLANET LTD	1	0.054
HARBIN NORMAL UNIVERSITY	1	0.054
HARBIN UNIVERSITY OF SCIENCE TECHNOLOGY	1	0.054
HARTFORD FINANCIAL SERV GRP INC	1	0.054
HASTINGS COLL LAW	1	0.054
HAWASSA UNIVERSITY	1	0.054
HCL FDN	1	0.054
HEBEI UNIVERSITY OF ECONOMICS BUSINESS	1	0.054
HEBREW SENIORLIFE	1	0.054
HEFEI UNIVERSITY OF TECHNOLOGY	1	0.054
HEILONGJIANG UNIVERSITY	1	0.054
HENDRIX COLL	1	0.054
HENRYS FORK FDN	1	0.054
HERTIE SCHOOL	1	0.054
HIGH PERFORMANCE COMP	1	0.054
HITACHI LIMITED	1	0.054
HITOTSUBASHI UNIVERSITY	1	0.054
HO CHI MINH CITY UNIVERSITY ECONOMICS	1	0.054
HOHAI UNIVERSITY	1	0.054
HOLDEN FORESTS GARDENS	1	0.054
HONGIK UNIVERSITY	1	0.054
HOPITAL UNIVERSITAIRE SAINT ANTOINE APHP	1	0.054
HOWARD HUGHES MEDICAL INSTITUTE	1	0.054
HUAIBEI NORMAL UNIVERSITY	1	0.054
HUAWEI TECHNOLOGIES	1	0.054
HUBEI NORMAL UNIVERSITY	1	0.054
HUBEI UNIVERSITY	1	0.054
HUDL	1	0.054
HUN REN ALFRED RENYI INSTITUTE OF MATHEMATICS	1	0.054
HUN REN CTR SOCIAL SCI	1	0.054
HUZHOU UNIVERSITY	1	0.054
IAB	1	0.054
IANALYSIS LLC	1	0.054
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	1	0.054
IE UNIVERSITY	1	0.054
IESE BUSINESS SCHOOL	1	0.054
